# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.pageLoadsAboveSizeThreshold,1775499068275000000,1775499079751000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1775499068275000000,1775499079751000000,0
FilePageCache.maxCacheSizeInBytes,1775499068275000000,1775499079751000000,202375168
FilePageCacheLockFree.heapBytesInUse,1775499068275000000,1775499079751000000,0
FilePageCacheLockFree.totalPagesReadMs,1775499068275000000,1775499079751000000,0
FilePageCacheLockFree.totalPagesWritten,1775499068275000000,1775499079751000000,0
FilePageCacheLockFree.totalBytesRead,1775499068275000000,1775499079751000000,0
FilePageCacheLockFree.nativeBytesInUse,1775499068275000000,1775499079751000000,0
StorageLockContext.competingThreads.avg,1775499068275000000,1775499079751000000,0.0
FilePageCache.uncachedFileAccess,1775499068275000000,1775499079751000000,331
MappedFileStorage.totalPagesMapped,1775499068275000000,1775499079751000000,0
FilePageCacheLockFree.totalBytesWritten,1775499068275000000,1775499079751000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1775499068275000000,1775499079751000000,0
DirectByteBufferAllocator.disposed,1775499068275000000,1775499079751000000,153
FilePageCache.pageFastCacheHits,1775499068275000000,1775499079751000000,13587
FilePageCache.capacityInBytes,1775499068275000000,1775499079751000000,503316478
FilePageCache.pageLoads,1775499068275000000,1775499079751000000,196
FilePageCacheLockFree.housekeeperTurnsDone,1775499068275000000,1775499079751000000,0
FilePageCacheLockFree.totalPagesReclaimed,1775499068275000000,1775499079751000000,0
FilePageCache.maxRegisteredFiles,1775499068275000000,1775499079751000000,537
FilePageCacheLockFree.totalPagesWriteMs,1775499068275000000,1775499079751000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1775499068275000000,1775499079751000000,41943040
FilePageCacheLockFree.totalHeapBytesReclaimed,1775499068275000000,1775499079751000000,0
DirectByteBufferAllocator.misses,1775499068275000000,1775499079751000000,193
MappedFileStorage.totalBytesMapped,1775499068275000000,1775499079751000000,0
DirectByteBufferAllocator.reclaimed,1775499068275000000,1775499079751000000,43
FilePageCacheLockFree.totalBytesRequested,1775499068275000000,1775499079751000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1775499068275000000,1775499079751000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1775499068275000000,1775499079751000000,0
FilePageCacheLockFree.totalPagesAllocated,1775499068275000000,1775499079751000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1775499068275000000,1775499079751000000,0
FilePageCacheLockFree.totalPagesRequested,1775499068275000000,1775499079751000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1775499068275000000,1775499079751000000,886310
FilePageCacheLockFree.totalPagesRequestsMs,1775499068275000000,1775499079751000000,0
DirectByteBufferAllocator.hits,1775499068275000000,1775499079751000000,3
FilePageCache.totalPageLoadsUs,1775499068275000000,1775499079751000000,145383
FilePageCacheLockFree.totalPagesHandedOver,1775499068275000000,1775499079751000000,0
FilePageCache.disposedBuffers,1775499068275000000,1775499079751000000,196
FileChannelInterruptsRetryer.totalRetriedAttempts,1775499068275000000,1775499079751000000,0
FilePageCache.totalPageDisposalsUs,1775499068275000000,1775499079751000000,505
StorageLockContext.competingThreads.max,1775499068275000000,1775499079751000000,0
StorageLockContext.competingThreads.90P,1775499068275000000,1775499079751000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1775499068275000000,1775499079751000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1775499068275000000,1775499079751000000,0
MappedFileStorage.storages,1775499068275000000,1775499079751000000,0
FilePageCache.pageHits,1775499068275000000,1775499079751000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1775499068275000000,1775499079751000000,41943040
workspaceModel.mutableEntityStorage.entities.ms,1775499068275000000,1775499079751000000,1
jps.app.storage.content.reader.load.component.ms,1775499068275000000,1775499079751000000,1
jps.global.get.libraries.ms,1775499068275000000,1775499079751000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1775499068275000000,1775499079751000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1775499068275000000,1775499079751000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1775499068275000000,1775499079751000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1775499068275000000,1775499079751000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1775499068275000000,1775499079751000000,0
jps.global.get.library.ms,1775499068275000000,1775499079751000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1775499068275000000,1775499079751000000,0
jps.library.entities.serializer.save.entities.ms,1775499068275000000,1775499079751000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1775499068275000000,1775499079751000000,0
jps.load.initial.state.ms,1775499068275000000,1775499079751000000,16
workspaceModel.do.save.caches.ms,1775499068275000000,1775499079751000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1775499068275000000,1775499079751000000,0
workspaceModel.load.cache.metadata.from.file.ms,1775499068275000000,1775499079751000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1775499068275000000,1775499079751000000,0
jps.global.handle.before.change.events.ms,1775499068275000000,1775499079751000000,0
jps.global.initialize.library.bridges.ms,1775499068275000000,1775499079751000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1775499068275000000,1775499079751000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1775499068275000000,1775499079751000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1775499068275000000,1775499079751000000,0
workspaceModel.save.cache.to.file.ms,1775499068275000000,1775499079751000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1775499068275000000,1775499079751000000,1
workspaceModel.load.cache.from.file.ms,1775499068275000000,1775499079751000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1775499068275000000,1775499079751000000,0
jps.library.entities.serializer.load.entities.ms,1775499068275000000,1775499079751000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1775499068275000000,1775499079751000000,0
jps.global.get.library.by.name.ms,1775499068275000000,1775499079751000000,0
workspaceModel.mutableEntityStorage.instances.count,1775499068275000000,1775499079751000000,3
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1775499068275000000,1775499079751000000,0
workspaceModel.global.apply.state.to.project.ms,1775499068275000000,1775499079751000000,0
workspaceModel.sync.entities.ms,1775499068275000000,1775499079751000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1775499068275000000,1775499079751000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1775499068275000000,1775499079751000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1775499068275000000,1775499079751000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1775499068275000000,1775499079751000000,0
workspaceModel.global.updates.ms,1775499068275000000,1775499079751000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1775499068275000000,1775499079751000000,0
jps.global.initialize.library.bridges.after.loading.ms,1775499068275000000,1775499079751000000,1
jps.save.global.entities.ms,1775499068275000000,1775499079751000000,0
workspaceModel.global.updates.count,1775499068275000000,1775499079751000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1775499068275000000,1775499079751000000,0
jps.global.handle.changed.events.ms,1775499068275000000,1775499079751000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1775499068275000000,1775499079751000000,0
NonBlockingReadAction.failedExecutionTimeUs,1775499068275000000,1775499079751000000,0
NonBlockingReadAction.finalizedExecutionsCount,1775499068275000000,1775499079751000000,15
FlushQueue.waitingTime90PNs,1775499068275000000,1775499079751000000,0
AWTEventQueue.dispatchTimeMaxNs,1775499068275000000,1775499079751000000,0
FlushQueue.queueSizeMax,1775499068275000000,1775499079751000000,0
FlushQueue.queueSizeAvg,1775499068275000000,1775499079751000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1775499068275000000,1775499079751000000,9227215630
ReadAction.executionsCount,1775499068275000000,1775499079751000000,50083
NonBlockingReadAction.finalizedExecutionTimeUs,1775499068275000000,1775499079751000000,46102
AWTEventQueue.eventsDispatched,1775499068275000000,1775499079751000000,0
FlushQueue.executionTimeMaxNs,1775499068275000000,1775499079751000000,0
FlushQueue.waitingTimeMaxNs,1775499068275000000,1775499079751000000,0
NonBlockingReadAction.failedExecutionsCount,1775499068275000000,1775499079751000000,0
FlushQueue.executionTimeAvgNs,1775499068275000000,1775499079751000000,0.0
AWTEventQueue.dispatchTime90PNs,1775499068275000000,1775499079751000000,0
WriteAction.executionsCount,1775499068275000000,1775499079751000000,1
AWTEventQueue.dispatchTimeAvgNs,1775499068275000000,1775499079751000000,0.0
FlushQueue.waitingTimeAvgNs,1775499068275000000,1775499079751000000,0.0
FlushQueue.executionTime90PNs,1775499068275000000,1775499079751000000,0
FlushQueue.tasksExecuted,1775499068275000000,1775499079751000000,0
FlushQueue.queueSize90P,1775499068275000000,1775499079751000000,0
cacheStateStorage.set.duration,1775499068275000000,1775499079751000000,0
cacheStateStorage.get.counter,1775499068275000000,1775499079751000000,10
cacheStateStorage.set.counter,1775499068275000000,1775499079751000000,0
cacheStateStorage.get.duration,1775499068275000000,1775499079751000000,0
writeAction.wait.ms,1775499068275000000,1775499079751000000,0
writeAction.count,1775499068275000000,1775499079751000000,1
writeAction.median.wait.ms,1775499068275000000,1775499079751000000,0
writeAction.max.wait.ms,1775499068275000000,1775499079751000000,0
VFS.fileByIdCache.misses,1775499068275000000,1775499079751000000,0
VFS.fileChildByName,1775499068275000000,1775499079751000000,13
VFS.fileByIdCache.hits,1775499068275000000,1775499079751000000,0
VFS.invertedFileNameIndex.requests,1775499068275000000,1775499079751000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1775499068275000000,1775499079751000000,0
workspaceModel.cachedValue.total.get.ms,1775499068275000000,1775499079751000000,0
workspaceModel.update.unloaded.entities.ms,1775499068275000000,1775499079751000000,0
workspaceModel.cachedValue.from.cache.ms,1775499068275000000,1775499079751000000,0
workspaceModel.pre.handlers.ms,1775499068275000000,1775499079751000000,0
workspaceModel.loading.total.ms,1775499068275000000,1775499079751000000,39
workspaceModel.cachedValueWithParameters.clear.ms,1775499068275000000,1775499079751000000,0
workspaceModel.cachedValue.clear.ms,1775499068275000000,1775499079751000000,0
workspaceModel.collect.changes.ms,1775499068275000000,1775499079751000000,0
workspaceModel.init.bridges.ms,1775499068275000000,1775499079751000000,0
workspaceModel.to.snapshot.ms,1775499068275000000,1775499079751000000,0
workspaceModel.updates.ms,1775499068275000000,1775499079751000000,0
workspaceModel.updates.precise.ms,1775499068275000000,1775499079751000000,0
workspaceModel.cachedValue.calculated.ms,1775499068275000000,1775499079751000000,0
workspaceModel.full.replace.project.model.ms,1775499068275000000,1775499079751000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1775499068275000000,1775499079751000000,3
workspaceModel.loading.from.cache.ms,1775499068275000000,1775499079751000000,30
workspaceModel.replace.project.model.ms,1775499068275000000,1775499079751000000,0
workspaceModel.check.recursive.update.ms,1775499068275000000,1775499079751000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1775499068275000000,1775499079751000000,0
workspaceModel.initializing.ms,1775499068275000000,1775499079751000000,0
workspaceModel.updates.count,1775499068275000000,1775499079751000000,0
workspaceModel.cachedValueWithParameters.calculated.ms,1775499068275000000,1775499079751000000,0
